Height,Time
2.71,11.16666667
2.71,11.25
2.71,11.33333333
2.71,11.41666667
2.71,11.5
2.71,11.58333333
2.71,11.66666667
2.71,11.75
2.71,11.83333333
2.71,11.91666667
2.7,12
2.71,12.08333333
2.71,12.16666667
2.71,12.25
2.71,12.33333333
2.71,12.41666667
2.71,12.5
2.71,12.58333333
2.71,12.66666667
2.71,12.75
2.71,12.83333333
2.71,12.91666667
2.71,13
2.71,13.08333333
2.71,13.16666667
2.71,13.25
2.71,13.33333333
2.71,13.41666667
2.71,13.5
2.71,13.58333333
2.7,13.66666667
2.71,13.75
2.71,13.83333333
2.71,13.91666667
2.71,14
2.71,14.08333333
2.71,14.16666667
2.71,14.25
2.71,14.33333333
2.71,14.41666667
2.71,14.5
2.7,14.58333333
2.71,14.66666667
2.71,14.75
2.71,14.83333333
2.7,14.91666667
2.7,15
2.7,15.08333333
2.71,15.16666667
2.71,15.25
2.72,15.33333333
2.8,15.41666667
2.8,15.5
2.81,15.58333333
2.89,15.66666667
2.96,15.75
2.96,15.83333333
2.95,15.91666667
2.95,16
2.97,16.08333333
2.96,16.16666667
2.96,16.25
2.94,16.33333333
2.92,16.41666667
2.9,16.5
2.88,16.58333333
2.85,16.66666667
2.84,16.75
2.82,16.83333333
2.82,16.91666667
2.8,17
2.8,17.08333333
2.78,17.16666667
2.77,17.25
2.77,17.33333333
2.76,17.41666667
2.76,17.5
2.76,17.58333333
2.75,17.66666667
2.75,17.75
2.75,17.83333333
2.74,17.91666667
2.75,18
2.74,18.08333333
2.75,18.16666667
2.75,18.25
2.74,18.33333333
2.73,18.41666667
2.73,18.5
2.73,18.58333333
2.74,18.66666667
2.8,18.75
3.19,18.83333333
4.34,18.91666667
4.69,19
4.9,19.08333333
5.2,19.16666667
5.06,19.25
4.67,19.33333333
4.29,19.41666667
3.97,19.5
3.78,19.58333333
3.64,19.66666667
3.55,19.75
3.47,19.83333333
3.41,19.91666667
3.34,20
3.3,20.08333333
3.26,20.16666667
3.24,20.25
3.22,20.33333333
3.18,20.41666667
3.14,20.5
3.12,20.58333333
3.09,20.66666667
3.07,20.75
3.05,20.83333333
3.03,20.91666667
3.01,21
2.98,21.08333333
2.96,21.16666667
2.95,21.25
2.93,21.33333333
2.91,21.41666667
2.91,21.5
2.88,21.58333333
2.88,21.66666667
2.87,21.75
2.86,21.83333333
2.85,21.91666667
2.84,22
2.83,22.08333333
2.83,22.16666667
2.82,22.25
2.81,22.33333333
2.8,22.41666667
2.8,22.5
2.8,22.58333333
2.8,22.66666667
2.78,22.75
2.79,22.83333333
2.77,22.91666667
2.77,23
2.78,23.08333333
2.77,23.16666667
2.77,23.25
2.77,23.33333333
2.76,23.41666667
2.77,23.5
2.76,23.58333333
2.76,23.66666667
2.75,23.75
2.75,23.83333333
2.75,23.91666667
2.75,24
2.74,24.08333333
2.75,24.16666667
2.75,24.25
2.74,24.33333333
2.74,24.41666667
2.74,24.5
2.74,24.58333333
2.73,24.66666667
2.74,24.75
2.74,24.83333333
2.74,24.91666667
2.73,25
2.74,25.08333333
2.73,25.16666667
2.73,25.25
2.74,25.33333333
2.74,25.41666667
2.73,25.5
2.73,25.58333333
2.73,25.66666667
2.72,25.75
2.74,25.83333333
2.73,25.91666667
2.73,26
2.72,26.08333333
2.73,26.16666667
2.73,26.25
2.72,26.33333333
2.72,26.41666667
2.72,26.5
2.73,26.58333333
2.73,26.66666667
2.73,26.75
2.73,26.83333333
2.73,26.91666667
2.73,27
2.72,27.08333333
2.72,27.16666667
2.72,27.25
2.72,27.33333333
2.73,27.41666667
2.72,27.5
2.73,27.58333333
2.74,27.66666667
2.73,27.75
2.73,27.83333333
2.73,27.91666667
2.73,28
2.73,28.08333333
2.72,28.16666667
2.73,28.25
2.72,28.33333333
2.72,28.41666667
2.73,28.5
2.72,28.58333333
2.72,28.66666667
2.71,28.75
2.72,28.83333333
2.72,28.91666667
2.71,29
2.72,29.08333333
2.72,29.16666667
2.72,29.25
2.73,29.33333333
2.72,29.41666667
2.72,29.5
2.71,29.58333333
2.72,29.66666667
2.72,29.75
2.72,29.83333333
2.71,29.91666667
2.71,30
2.72,30.08333333
2.71,30.16666667
2.72,30.25
2.71,30.33333333
2.72,30.41666667
2.72,30.5
2.72,30.58333333
2.71,30.66666667
2.71,30.75
2.71,30.83333333
2.71,30.91666667
2.71,31
2.72,31.08333333
2.71,31.16666667
2.72,31.25
2.72,31.33333333
2.72,31.41666667
2.72,31.5
2.71,31.58333333
2.72,31.66666667
2.71,31.75
2.72,31.83333333
2.72,31.91666667
2.72,32
2.71,32.08333333
2.72,32.16666667
2.72,32.25
2.72,32.33333333
2.72,32.41666667
2.72,32.5
2.72,32.58333333
2.71,32.66666667
2.71,32.75
2.71,32.83333333
2.71,32.91666667
2.71,33
2.71,33.08333333
2.71,33.16666667
2.71,33.25
2.71,33.33333333
2.71,33.41666667
2.71,33.5
2.71,33.58333333
2.71,33.66666667
2.72,33.75
2.71,33.83333333
2.72,33.91666667
2.71,34
2.71,34.08333333
2.71,34.16666667
2.71,34.25
2.71,34.33333333
2.71,34.41666667
