# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-27 20:56:01 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 021695045 TRIB TO ROCKY BRANCH AB GERVAIS ST AT COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 021695045
#            TS   parameter     Description
#        177237       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	177237_00045	177237_00045_cd
USGS	021695045	2021-03-26 07:15	EDT	0.00	P
USGS	021695045	2021-03-26 07:30	EDT	0.00	P
USGS	021695045	2021-03-26 07:45	EDT	0.00	P
USGS	021695045	2021-03-26 08:00	EDT	0.00	P
USGS	021695045	2021-03-26 08:15	EDT	0.00	P
USGS	021695045	2021-03-26 08:30	EDT	0.00	P
USGS	021695045	2021-03-26 08:45	EDT	0.00	P
USGS	021695045	2021-03-26 09:00	EDT	0.00	P
USGS	021695045	2021-03-26 09:15	EDT	0.00	P
USGS	021695045	2021-03-26 09:30	EDT	0.00	P
USGS	021695045	2021-03-26 09:45	EDT	0.00	P
USGS	021695045	2021-03-26 10:00	EDT	0.00	P
USGS	021695045	2021-03-26 10:15	EDT	0.00	P
USGS	021695045	2021-03-26 10:30	EDT	0.00	P
USGS	021695045	2021-03-26 10:45	EDT	0.00	P
USGS	021695045	2021-03-26 11:00	EDT	0.00	P
USGS	021695045	2021-03-26 11:15	EDT	0.00	P
USGS	021695045	2021-03-26 11:30	EDT	0.00	P
USGS	021695045	2021-03-26 11:45	EDT	0.00	P
USGS	021695045	2021-03-26 12:00	EDT	0.00	P
USGS	021695045	2021-03-26 12:15	EDT	0.00	P
USGS	021695045	2021-03-26 12:30	EDT	0.00	P
USGS	021695045	2021-03-26 12:45	EDT	0.03	P
USGS	021695045	2021-03-26 13:00	EDT	0.00	P
USGS	021695045	2021-03-26 13:15	EDT	0.10	P
USGS	021695045	2021-03-26 13:30	EDT	0.00	P
USGS	021695045	2021-03-26 13:45	EDT	0.00	P
USGS	021695045	2021-03-26 14:00	EDT	0.00	P
USGS	021695045	2021-03-26 14:15	EDT	0.00	P
USGS	021695045	2021-03-26 14:30	EDT	0.00	P
USGS	021695045	2021-03-26 14:45	EDT	0.00	P
USGS	021695045	2021-03-26 15:00	EDT	0.00	P
USGS	021695045	2021-03-26 15:15	EDT	0.00	P
USGS	021695045	2021-03-26 15:30	EDT	0.00	P
USGS	021695045	2021-03-26 15:45	EDT	0.00	P
USGS	021695045	2021-03-26 16:00	EDT	0.00	P
USGS	021695045	2021-03-26 16:15	EDT	0.01	P
USGS	021695045	2021-03-26 16:30	EDT	0.01	P
USGS	021695045	2021-03-26 16:45	EDT	0.00	P
USGS	021695045	2021-03-26 17:00	EDT	0.00	P
USGS	021695045	2021-03-26 17:15	EDT	0.00	P
USGS	021695045	2021-03-26 17:30	EDT	0.00	P
USGS	021695045	2021-03-26 17:45	EDT	0.00	P
USGS	021695045	2021-03-26 18:00	EDT	0.00	P
USGS	021695045	2021-03-26 18:15	EDT	0.00	P
USGS	021695045	2021-03-26 18:30	EDT	0.00	P
USGS	021695045	2021-03-26 18:45	EDT	0.00	P
USGS	021695045	2021-03-26 19:00	EDT	0.00	P
USGS	021695045	2021-03-26 19:15	EDT	0.00	P
USGS	021695045	2021-03-26 19:30	EDT	0.00	P
USGS	021695045	2021-03-26 19:45	EDT	0.00	P
USGS	021695045	2021-03-26 20:00	EDT	0.00	P
USGS	021695045	2021-03-26 20:15	EDT	0.00	P
USGS	021695045	2021-03-26 20:30	EDT	0.00	P
USGS	021695045	2021-03-26 20:45	EDT	0.00	P
USGS	021695045	2021-03-26 21:00	EDT	0.00	P
USGS	021695045	2021-03-26 21:15	EDT	0.00	P
USGS	021695045	2021-03-26 21:30	EDT	0.00	P
USGS	021695045	2021-03-26 21:45	EDT	0.00	P
USGS	021695045	2021-03-26 22:00	EDT	0.00	P
USGS	021695045	2021-03-26 22:15	EDT	0.00	P
USGS	021695045	2021-03-26 22:30	EDT	0.00	P
USGS	021695045	2021-03-26 22:45	EDT	0.00	P
USGS	021695045	2021-03-26 23:00	EDT	0.00	P
USGS	021695045	2021-03-26 23:15	EDT	0.00	P
USGS	021695045	2021-03-26 23:30	EDT	0.00	P
USGS	021695045	2021-03-26 23:45	EDT	0.00	P
USGS	021695045	2021-03-27 00:00	EDT	0.00	P
USGS	021695045	2021-03-27 00:15	EDT	0.00	P
USGS	021695045	2021-03-27 00:30	EDT	0.00	P
USGS	021695045	2021-03-27 00:45	EDT	0.00	P
USGS	021695045	2021-03-27 01:00	EDT	0.00	P
USGS	021695045	2021-03-27 01:15	EDT	0.00	P
USGS	021695045	2021-03-27 01:30	EDT	0.00	P
USGS	021695045	2021-03-27 01:45	EDT	0.00	P
USGS	021695045	2021-03-27 02:00	EDT	0.00	P
USGS	021695045	2021-03-27 02:15	EDT	0.00	P
USGS	021695045	2021-03-27 02:30	EDT	0.00	P
USGS	021695045	2021-03-27 02:45	EDT	0.00	P
USGS	021695045	2021-03-27 03:00	EDT	0.00	P
USGS	021695045	2021-03-27 03:15	EDT	0.00	P
USGS	021695045	2021-03-27 03:30	EDT	0.00	P
USGS	021695045	2021-03-27 03:45	EDT	0.00	P
USGS	021695045	2021-03-27 04:00	EDT	0.00	P
USGS	021695045	2021-03-27 04:15	EDT	0.00	P
USGS	021695045	2021-03-27 04:30	EDT	0.00	P
USGS	021695045	2021-03-27 04:45	EDT	0.00	P
USGS	021695045	2021-03-27 05:00	EDT	0.00	P
USGS	021695045	2021-03-27 05:15	EDT	0.00	P
USGS	021695045	2021-03-27 05:30	EDT	0.00	P
USGS	021695045	2021-03-27 05:45	EDT	0.00	P
USGS	021695045	2021-03-27 06:00	EDT	0.00	P
USGS	021695045	2021-03-27 06:15	EDT	0.00	P
USGS	021695045	2021-03-27 06:30	EDT	0.00	P
USGS	021695045	2021-03-27 06:45	EDT	0.00	P
USGS	021695045	2021-03-27 07:00	EDT	0.00	P
USGS	021695045	2021-03-27 07:15	EDT	0.00	P
USGS	021695045	2021-03-27 07:30	EDT	0.00	P
USGS	021695045	2021-03-27 07:45	EDT	0.00	P
USGS	021695045	2021-03-27 08:00	EDT	0.00	P
USGS	021695045	2021-03-27 08:15	EDT	0.00	P
USGS	021695045	2021-03-27 08:30	EDT	0.00	P
USGS	021695045	2021-03-27 08:45	EDT	0.00	P
USGS	021695045	2021-03-27 09:00	EDT	0.00	P
USGS	021695045	2021-03-27 09:15	EDT	0.00	P
USGS	021695045	2021-03-27 09:30	EDT	0.00	P
USGS	021695045	2021-03-27 09:45	EDT	0.00	P
USGS	021695045	2021-03-27 10:00	EDT	0.00	P
USGS	021695045	2021-03-27 10:15	EDT	0.00	P
USGS	021695045	2021-03-27 10:30	EDT	0.00	P
USGS	021695045	2021-03-27 10:45	EDT	0.00	P
USGS	021695045	2021-03-27 11:00	EDT	0.00	P
USGS	021695045	2021-03-27 11:15	EDT	0.00	P
USGS	021695045	2021-03-27 11:30	EDT	0.00	P
USGS	021695045	2021-03-27 11:45	EDT	0.00	P
USGS	021695045	2021-03-27 12:00	EDT	0.00	P
USGS	021695045	2021-03-27 12:15	EDT	0.00	P
USGS	021695045	2021-03-27 12:30	EDT	0.00	P
USGS	021695045	2021-03-27 12:45	EDT	0.00	P
USGS	021695045	2021-03-27 13:00	EDT	0.00	P
USGS	021695045	2021-03-27 13:15	EDT	0.00	P
USGS	021695045	2021-03-27 13:30	EDT	0.00	P
USGS	021695045	2021-03-27 13:45	EDT	0.00	P
USGS	021695045	2021-03-27 14:00	EDT	0.00	P
USGS	021695045	2021-03-27 14:15	EDT	0.00	P
USGS	021695045	2021-03-27 14:30	EDT	0.00	P
USGS	021695045	2021-03-27 14:45	EDT	0.00	P
USGS	021695045	2021-03-27 15:00	EDT	0.00	P
USGS	021695045	2021-03-27 15:15	EDT	0.00	P
USGS	021695045	2021-03-27 15:30	EDT	0.00	P
USGS	021695045	2021-03-27 15:45	EDT	0.00	P
USGS	021695045	2021-03-27 16:00	EDT	0.00	P
USGS	021695045	2021-03-27 16:15	EDT	0.00	P
USGS	021695045	2021-03-27 16:30	EDT	0.00	P
USGS	021695045	2021-03-27 16:45	EDT	0.00	P
USGS	021695045	2021-03-27 17:00	EDT	0.00	P
USGS	021695045	2021-03-27 17:15	EDT	0.00	P
USGS	021695045	2021-03-27 17:30	EDT	0.00	P
USGS	021695045	2021-03-27 17:45	EDT	0.00	P
USGS	021695045	2021-03-27 18:00	EDT	0.00	P
USGS	021695045	2021-03-27 18:15	EDT	0.00	P
USGS	021695045	2021-03-27 18:30	EDT	0.00	P
USGS	021695045	2021-03-27 18:45	EDT	0.00	P
USGS	021695045	2021-03-27 19:00	EDT	0.00	P
USGS	021695045	2021-03-27 19:15	EDT	0.00	P
USGS	021695045	2021-03-27 19:30	EDT	0.00	P
USGS	021695045	2021-03-27 19:45	EDT	0.00	P
USGS	021695045	2021-03-27 20:00	EDT	0.00	P
USGS	021695045	2021-03-27 20:15	EDT	0.00	P
